node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
TRAF6,protein,6,,,0.00012661141804788214,0.00815485156863401,0.0035008948812326204,4,0
CIITA,protein,1,,,0.0,0.008055016040483635,0.00028505269724804006,1,10
ATF1,protein,1,,,0.0,0.010300992095549395,0.00039169920572569285,1,2
ELAVL1,protein,2,,,0.040033292322453846,0.010441074116765241,0.000415194727214246,2,0
MMP1,protein,1,,,0.0,0.008987022228246136,0.000682927821572042,1,2
FADD,protein,3,,,0.005303686852273137,0.00949068454735849,0.001085863875836107,2,0
ATP5B,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
MYD88,protein,13,,,0.002402457299678618,0.00980681798013382,0.005188201895004994,4,0
TICAM1,protein,4,,,0.0,0.01034690059173075,0.0006555400262743898,4,4
HSPA4,protein,1,,,0.0,0.009968022650985524,0.000372645560809526,1,0
SP1,protein,1,,,0.0,0.010190325973629982,0.00044993412968945663,1,2
TBX21,protein,12,,,0.005199870003249918,0.004996013361230009,0.015606612884903875,4,3
BCL2A1,protein,1,,,0.0,0.009106710422368696,0.0005479947262299755,1,0
RUNX1,protein,1,,,0.0,0.007972820655138149,0.0003527727102901407,1,2
ITGAM,protein,1,,,0.0,0.009344973470105667,0.000679502673926068,1,0
MAP3K7,protein,3,,,0.0004915502112447188,0.008710844307349527,0.0008948235217347036,3,4
KLF4,protein,1,,,0.0,0.010190325973629982,0.00044993412968945663,1,2
CCL11,cytokine,3,,,0.0,0.00974955418006185,0.0007618754419175464,3,3
IL3RA,receptor,3,,,0.0034801213303000756,0.006527943066737447,0.003196671321235903,2,0
IRF4,protein,2,,,0.0,0.008121434499639408,0.0009123181851099602,2,3
IRF8,protein,3,,,0.010399740006499836,0.010104369979531055,0.00037517721215662384,2,10
PTPN6,protein,8,,,0.1779496559213,0.010552029172416953,0.0028460757953674715,4,0
STAT5A,protein,4,,,0.0,0.00978890004984044,0.0016749974991221686,4,1
TLR1,receptor,12,,,0.025362181376562275,0.010327394265550063,0.004186411833818617,4,0
TLR7,receptor,4,,,0.0006533690824396055,0.00999069581726133,0.0015301796822664495,4,0
TNFRSF10B,receptor,15,,,0.03934278937173395,0.009521824031450363,0.0077386956269095515,3,0
BIRC2,protein,2,,,0.0,0.008772914598235738,0.0009095561453326216,2,5
RIPK2,protein,2,,,0.02410267139305165,0.01058754708858722,0.0003478647485604622,2,4
SH3KBP1,protein,1,,,0.0,0.007289643788797478,0.0008169516567215273,1,5
TNF,cytokine,2,,,0.0,0.001783237160557974,0.013558418595724882,2,5
TNFSF14,protein,1,,,0.0,0.008860927554112046,0.0002910701467633059,1,1
CASP8,protein,4,,,0.04765396490087747,0.009657626446176988,0.0015136642974751128,3,0
BMPR2,protein,1,,,0.0,0.010226663503845972,0.0005540749534375384,1,2
CD44,receptor,10,,,0.07943687196510564,0.010568498133234044,0.0036087771778888214,3,2
BMX,protein,1,,,0.0,0.008668562414564531,0.0003025845677464538,1,5
BRE,protein,1,,,0.0,0.008854812130082691,0.0004275887543703608,1,5
BRF1,protein,1,,,0.0,0.00936777703684029,0.000538972592736002,1,2
PRKCB,protein,1,,,0.0,0.008772914598235738,0.0004445175762117159,1,5
TLR6,receptor,5,,,0.00013879861336799911,0.0095630998368513,0.0018539067898630046,3,0
TLR8,receptor,13,,,0.08072651482324048,0.010186919262063372,0.003016720189542969,4,0
CCL18,cytokine,2,,,0.006946701332466688,0.009546621419274582,0.000739755067806426,1,3
SCARF1,protein,1,,,0.0,0.010204402777059586,0.000283223702910649,1,4
C3,protein,1,,,0.0,0.009808988328552086,0.0009543340799797861,1,0
CD46,receptor,8,,,0.03395420322825262,0.01034382729839082,0.0031958386827455275,2,0
CFI,protein,1,,,0.0,0.010123042146969663,0.0005468712466708135,1,0
TRAF4,protein,2,,,0.0,0.006315280318679201,0.0009391334097160448,2,0
CALM1,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
IQGAP1,protein,1,,,0.0,0.00936777703684029,0.000538972592736002,1,2
CALR,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
CAMLG,protein,1,,,0.0,0.004944885754821219,0.0009736102514238836,1,0
GAPDH,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
VDR,protein,1,,,0.0,0.009629586329890439,0.0005447449018834338,1,0
CAPNS1,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
CAPZA1,protein,2,,,0.0,0.0045885814467713825,0.0029435212691978595,2,6
CAPZA2,protein,1,,,0.0,0.0004263833904406009,0.0021220748129004933,1,6
CAPZB,protein,2,,,0.0,0.0045885814467713825,0.0029435212691978595,2,6
YWHAB,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
IL37,cytokine,1,,,0.0,0.003569777676036441,0.00030048868926179663,1,11
IL33,cytokine,2,,,0.0,0.009102459876075443,0.0005231166469390356,2,3
IRF5,protein,2,,,0.037812619292652595,0.009742540532788859,0.0006265903297667755,2,0
TNFRSF10A,receptor,3,,,0.0,0.008139195604119347,0.001940850686557399,2,0
TNFSF10,protein,2,,,0.0,0.008068079165340365,0.001348245537781002,2,0
TRADD,protein,1,,,0.0,0.008311670290196613,0.0005460905072598463,1,5
CAT,protein,1,,,0.0,0.008303742819129219,0.0008636368435783561,1,0
TLR10,receptor,11,,,0.014419419569525188,0.01006619225920537,0.005711554244766092,4,0
CAV1,protein,1,,,0.0,0.010292511049047963,0.0003141958390027095,1,0
CD33,receptor,12,,,0.02702284873433711,0.01015170857207248,0.00621333282450832,3,0
