node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
MMP1,protein,4,,,0.0,0.005823786654961337,0.004038136645045939,3,1
BRCA1,protein,2,,,0.0,0.006531703714242221,0.000883848186527348,2,0
ZFP36,protein,1,,,0.0,0.007124300130736469,0.00048238656030615836,1,0
NFATC4,protein,1,,,0.0,0.005549726106492568,0.001238917093107534,1,0
SP1,protein,3,,,0.0,0.006765556866835203,0.002649031481134099,3,0
TBX21,protein,2,,,0.0,0.0041118132280769555,0.007282809505720139,2,0
RUNX1,protein,4,,,0.030796446192474503,0.007049940900908646,0.0027015544110600685,3,0
BCL3,protein,1,,,0.0,0.006835168744562149,0.0006488825556413217,1,0
CCL11,cytokine,11,,,0.05313943075869574,0.007084510073275563,0.003926110357437808,5,1
IFNAR2,cytokine,15,,,0.051099151932295056,0.00691156146199644,0.007798280273783815,5,1
IL3RA,receptor,1,,,0.0,0.006386057026726909,0.0008099656690581225,1,0
IRF4,protein,1,,,0.0,0.00681276641107219,0.0006312288768906978,1,0
IRF8,protein,3,,,0.0014573420188576545,0.006794233548689949,0.0012002105883009667,3,0
PTPN6,protein,1,,,0.0,0.006556292969606976,0.0009283013127657618,1,1
STAT5A,protein,2,,,0.011465594437518656,0.00679222829371616,0.000974429982748099,1,9
CMA1,protein,1,,,0.0,0.006973493552496127,0.0008174553167125659,1,2
BGN,protein,1,,,0.0,0.007022129573959854,0.0005211829978857161,1,0
BIRC2,protein,1,,,0.0,0.0062591422848455765,0.0008509527173119567,1,0
TNF,cytokine,45,,,0.25861353513715984,0.007229487706153256,0.04273401886208328,5,0
HDAC3,protein,2,,,0.0,0.005950711063524851,0.0017802201191121935,2,0
BRD4,protein,2,,,0.0,0.006963546060180385,0.0006612729620765558,2,4
CCL18,cytokine,9,,,0.04809082342750453,0.006880859155826628,0.01184208765972546,2,6
CTSG,protein,2,,,0.0,0.006892930322032135,0.001469749303297992,2,2
NR3C1,protein,6,,,0.04943315833523544,0.007116117791157037,0.0015970799141540868,5,1
GAPDH,protein,1,,,0.0,0.001183431952662722,0.0008511612327354441,1,10
PRTN3,protein,4,,,0.042267308131266126,0.006808159688792706,0.0030861025145898363,2,2
CSNK2A1,protein,1,,,0.0,0.0061758774197785285,0.0004503472937858408,1,3
IL37,cytokine,6,,,0.011500711112671851,0.006421184413114358,0.006441615822898941,2,2
CASP4,protein,2,,,0.0,0.006336073728857936,0.002824681758755771,2,2
CASP5,protein,1,,,0.0,0.006335699941250782,0.001304089905968357,1,2
IL33,cytokine,11,,,0.11908942461327764,0.007125718215468893,0.011438165543991121,2,2
CASP7,protein,1,,,0.0,0.006509927849196356,0.0020636726299991166,1,2
